BIC,Likelihood
7928867.960911383,-49.66284866217229
-816723.7032731931,5.126067998528486
-1907394.8768782783,11.96324077256386
-2840438.849413984,17.813009538346943
-3722749.369958845,23.344975199663388
-4324497.820884456,27.119451606421084
-4387772.863121385,27.520837591796134
-4292709.6554611735,26.930365436270275
-5163512.003015705,32.3902419146207
-5193535.141915533,32.58333223519726
-6209070.861719383,38.94984355142663
-6144374.947925636,38.54959736882992
-5718978.813231246,35.88986271293336
-5965084.121307581,37.43652905661537
-6175808.92114603,38.761565786810074
-6872537.167954195,43.13101203710474
-7312040.11189356,45.88915456980835
-7996350.728025651,50.18081463713858
-8201438.710084297,51.470541367334526
-8443770.15641166,52.99356758931011
